"skill_id","skills","demand_count","avg_salary"
0,"sql","312","95292"
181,"excel","226","87212"
182,"tableau","212","98794"
1,"python","143","104277"
183,"power bi","139","92059"
196,"powerpoint","74","88182"
5,"r","73","105969"
215,"flow","51","92445"
188,"word","51","87075"
186,"sas","37","100308"
7,"sas","37","100308"
79,"oracle","37","93139"
80,"snowflake","34","112543"
189,"sap","34","86547"
8,"go","33","105701"
61,"sql server","30","89868"
185,"looker","25","110581"
76,"aws","25","105996"
197,"ssrs","23","91102"
74,"azure","22","103836"
198,"outlook","20","80974"
204,"visio","18","89551"
194,"ssis","17","92889"
9,"javascript","17","76212"
137,"phoenix","16","135248"
